,area,convex_area,bbox_area,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,mean_intensity,solidity,eccentricity,ratio_length,perimeter_ratio_major,perimeter_ratio_minor,area_ratio_convex,area_ratio_bbox,peri_over_dia,Finding
4,104,161,391,26.22165242,6.530114872,59.87005769,11.50725478,130.0480769,0.645962733,0.96849443,4.015496347,2.28322978,9.168300843,0.645962733,0.265984655,5.202809776,Normal
1,314,930,990,54.21153767,25.36672984,212.4264069,19.99492978,245.7802548,0.337634409,0.883770171,2.1371118,3.918472266,8.374213318,0.337634409,0.317171717,10.62401365,Normal
2,124,223,486,31.40125391,7.498786875,80.18376618,12.56509863,136.7822581,0.556053812,0.971067461,4.187511184,2.553521156,10.6928984,0.556053812,0.255144033,6.381467313,Normal
4,281,435,728,32.22538989,16.39851011,133.746212,18.9150816,132.9359431,0.645977011,0.86084382,1.965141325,4.150336505,8.155997776,0.645977011,0.385989011,7.070876818,Normal
5,287,373,528,23.3783698,17.59411638,96.80508653,19.11595536,133.5470383,0.769436997,0.658499714,1.328760666,4.140797127,5.502128349,0.769436997,0.543560606,5.064098796,Normal
6,147,270,506,24.12900232,13.78484955,90.46194078,13.68087033,135.9251701,0.544444444,0.820742745,1.750400121,3.749095781,6.562417709,0.544444444,0.290513834,6.612294289,Normal
1,126749,175766,188928,622.4397794,358.9582309,6466.434955,401.7235854,168.2733355,0.721123539,0.816959167,1.734017292,10.38885233,18.01444959,0.721123539,0.670885205,16.09672718,Normal
2,270,602,961,35.3563827,20.64263176,166.254834,18.5411617,135.3074074,0.448504983,0.811865462,1.712784644,4.702258017,8.053955324,0.448504983,0.280957336,8.966797049,Normal
3,121,165,270,24.94866279,7.721139654,70.24873734,12.41217084,135.5123967,0.733333333,0.950905593,3.231215067,2.815731566,9.098234262,0.733333333,0.448148148,5.659665683,Normal
5,408,546,885,55.40715447,11.51762779,167.7045815,22.79214194,140.8848039,0.747252747,0.978155915,4.810639439,3.026767627,14.56068772,0.747252747,0.461016949,7.358000047,Normal
1,720,803,1012,43.10648199,22.5201571,126.8406204,30.27759026,140.1263889,0.896637609,0.852681641,1.914128831,2.942495295,5.63231508,0.896637609,0.711462451,4.189257445,Normal
2,123833,186402,198656,624.6882293,345.685632,5185.172111,397.0756509,155.9108073,0.664333001,0.83293353,1.807099201,8.3004159,14.99967494,0.664333001,0.623353938,13.05839857,Normal
3,134,187,247,20.41042852,10.97650618,69.24873734,13.0619332,133.1343284,0.71657754,0.843079399,1.85946495,3.392811536,6.308814134,0.71657754,0.542510121,5.301568785,Normal
4,113,141,209,16.88268427,9.221100569,47.00609665,11.99483508,135.5044248,0.80141844,0.837663356,1.830875191,2.784278608,5.097666629,0.80141844,0.540669856,3.918861439,Normal
5,239,335,460,21.6913615,19.06132482,101.0477272,17.44431859,133.9288703,0.713432836,0.477278874,1.137977643,4.658431756,5.301191191,0.713432836,0.519565217,5.792586662,Normal
6,506,671,1102,56.44529204,12.30511011,139.5685425,25.38226171,143.9624506,0.754098361,0.975948625,4.587142376,2.472633898,11.34232373,0.754098361,0.459165154,5.498664543,Normal
7,400,635,1083,56.55602674,12.67920104,193.0538239,22.56758334,137.89,0.62992126,0.97454584,4.46053553,3.413496934,15.22602435,0.62992126,0.369344414,8.554474839,Normal
1,309,404,627,34.9536203,13.72042044,104.4974747,19.83509565,141.4822006,0.764851485,0.919738275,2.547561895,2.989603761,7.616200621,0.764851485,0.492822967,5.268312114,Normal
2,192,290,308,22.67484132,15.48299386,78.76345597,15.63528038,177.5833333,0.662068966,0.730580105,1.464499795,3.473605607,5.087094699,0.662068966,0.623376623,5.037546756,Normal
1,227,362,476,30.30284888,16.89649854,114.0477272,17.00074636,144.2731278,0.627071823,0.830117977,1.793439558,3.763597531,6.749784691,0.627071823,0.476890756,6.708395316,Normal
2,347,485,656,43.10811341,12.014736,123.5330086,21.01937492,133.4524496,0.715463918,0.960374814,3.587936797,2.865655646,10.28179134,0.715463918,0.528963415,5.877101915,Normal
3,557,723,1224,48.81795841,15.36851953,149.1543289,26.63070458,137.0987433,0.770401107,0.949153772,3.176490638,3.05531681,9.70518524,0.770401107,0.455065359,5.600840507,Normal
4,90002,116204,171258,433.4665419,320.776616,2914.962733,338.5175114,151.8456812,0.774517228,0.672577996,1.351303431,6.724769852,9.087204576,0.774517228,0.525534574,8.610965859,Normal
5,717,1081,2244,68.7090245,16.48798631,220.1309883,30.21444611,136.0251046,0.663274746,0.97078073,4.167217464,3.203814782,13.35099291,0.663274746,0.319518717,7.285620513,Normal
6,337,682,1147,31.57029273,25.62330895,156.6040764,20.71428798,131.7181009,0.494134897,0.584175705,1.232092732,4.960488575,6.111781921,0.494134897,0.293809939,7.560195964,Normal
7,614,1110,2448,69.37425138,17.88244579,204.9238816,27.96013377,132.732899,0.553153153,0.966206903,3.87946102,2.953889627,11.45949967,0.553153153,0.250816993,7.329145248,Normal
9,120,170,336,21.53894491,9.022285182,68.14823228,12.36077446,130.2083333,0.705882353,0.908040487,2.387304821,3.163954064,7.553322789,0.705882353,0.357142857,5.51326557,Normal
10,107,189,609,31.33709785,7.841189057,71.21320344,11.67204486,131.7383178,0.566137566,0.968188838,3.996472681,2.272488786,9.081939349,0.566137566,0.175697865,6.101176295,Normal
1,171185,206407,216576,600.8273968,434.1138363,5381.249276,466.8613407,169.6242778,0.829356563,0.691343017,1.384031898,8.956397968,12.39594048,0.829356563,0.790415374,11.52644009,Normal
2,128,167,494,41.78549777,4.30428437,80.6629509,12.76615297,184.8828125,0.766467066,0.994680419,9.707885022,1.930405409,18.74015376,0.766467066,0.259109312,6.318501045,Normal
3,267,455,572,51.32456333,10.28190386,114.1837662,18.43786751,183.3333333,0.586813187,0.979728263,4.991737329,2.224739165,11.10531354,0.586813187,0.466783217,6.192894384,Normal
4,162,243,264,25.06748133,11.65400627,77.97056275,14.36192209,187.3333333,0.666666667,0.885360385,2.150975445,3.110426681,6.690451413,0.666666667,0.613636364,5.428978255,Normal
5,2193,2884,4788,80.03907275,42.35143267,319.8772004,52.84140726,139.876425,0.760402219,0.848537983,1.889878753,3.99651307,7.552925135,0.760402219,0.45802005,6.053532957,Normal
6,859,3187,5175,118.5825332,36.19920703,389.2264428,33.0713285,141.1944121,0.269532476,0.952267144,3.275832345,3.282325248,10.75234721,0.269532476,0.165990338,11.7693017,Normal
1,155817,201335,225792,611.9887237,405.0314465,5848.371209,445.4125797,165.0351502,0.77391909,0.74965547,1.510965948,9.556338185,14.43930159,0.77391909,0.69009088,13.13023358,Normal
2,126,387,480,39.18497076,13.53445802,106.0355339,12.66602474,234.8571429,0.325581395,0.938455851,2.895200584,2.706025598,7.834486891,0.325581395,0.2625,8.371650625,Normal
3,304,394,528,31.91231165,13.47182614,105.4974747,19.67396304,134.5756579,0.771573604,0.906525355,2.368818549,3.30585499,7.83097062,0.771573604,0.575757576,5.362288954,Normal
4,132,187,273,21.44375467,9.675502048,71.9411255,12.96408963,132.3106061,0.705882353,0.892420975,2.216293745,3.354875422,7.435389413,0.705882353,0.483516484,5.549261657,Normal
5,240,497,920,35.2348547,15.85141119,133.3319985,17.48077489,135.3125,0.482897384,0.89308966,2.222821316,3.784093893,8.411364568,0.482897384,0.260869565,7.627350578,Normal
1,3062,3761,4366,112.1206821,38.71992943,421.8061325,62.43924636,140.5349445,0.814145174,0.938477074,2.895684052,3.762072478,10.89377328,0.814145174,0.701328447,6.755464826,Normal
2,5631,8055,13496,217.8098176,41.27720981,646.883297,84.67356067,169.8760433,0.699068901,0.981878728,5.276757285,2.969945544,15.67168178,0.699068901,0.417234736,7.639731835,Normal
4,110686,148950,185757,448.3089311,380.3962675,4455.154867,375.4061697,158.8422023,0.743108426,0.529173422,1.178531362,9.937689299,11.7118785,0.743108426,0.59586449,11.867559,Normal
5,159,311,486,26.26630849,14.28636077,88.35533906,14.22831992,137.8679245,0.511254019,0.839147188,1.838558392,3.363827814,6.184593856,0.511254019,0.327160494,6.209822353,Normal
6,236,315,532,25.41003856,14.89957306,89.01219331,17.33448968,131.6991525,0.749206349,0.810046516,1.705420582,3.503032595,5.974143888,0.749206349,0.443609023,5.134976278,Normal
8,112,191,442,36.40768891,5.805573027,72.42031022,11.94164264,139.7946429,0.586387435,0.987204377,6.271161992,1.989148787,12.47427427,0.586387435,0.253393665,6.06451829,Normal
9,106,192,456,40.48677692,4.821110767,72.59188309,11.61737456,141.2075472,0.552083333,0.992884825,8.397810976,1.792977575,15.05708676,0.552083333,0.23245614,6.248561815,Normal
1,122,149,195,13.63143361,12.2606154,49.21320344,12.46335526,132.6885246,0.818791946,0.437050489,1.11180664,3.610273492,4.013926041,0.818791946,0.625641026,3.948632001,Normal
2,192,500,544,41.07298047,16.07714791,145.2426407,15.63528038,235.171875,0.384,0.920208393,2.554742961,3.536208939,9.034104897,0.384,0.352941176,9.289417084,Normal
1,115,167,180,21.29937028,9.558513533,63.3492424,12.10051849,182.7565217,0.688622754,0.893647409,2.228314079,2.974230767,6.627520292,0.688622754,0.638888889,5.235250248,Normal
2,618,734,1088,35.25264961,23.88906926,127.5035713,28.05106127,137.118123,0.841961853,0.73538167,1.475681167,3.616850726,5.3373185,0.841961853,0.568014706,4.54540989,Normal
1,153,242,494,28.32417161,9.274945416,74.14823228,13.95727948,134.3856209,0.632231405,0.944866117,3.053837013,2.617842926,7.994465622,0.632231405,0.309716599,5.31251326,Normal
3,546,866,1326,35.73710379,27.93314877,161.2964646,26.36643304,135.9120879,0.630484988,0.6237439,1.279379711,4.513417358,5.774374593,0.630484988,0.411764706,6.11749281,Normal
6,158,243,266,20.44171488,14.90924639,69.97056275,14.1835062,176.9556962,0.650205761,0.684136501,1.371076334,3.422930178,4.693098559,0.650205761,0.593984962,4.933234545,Normal
1,99472,170574,189440,586.0693765,317.7926942,6083.36825,355.8815589,156.8394724,0.583160388,0.840220968,1.844187696,10.37994561,19.14256797,0.583160388,0.525084459,17.09380016,Normal
